City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
288,Axim,GH,2020-04-17 03:32:43,4.87,-2.24,81.93,86,79,10.58
289,Bilma,NE,2020-04-17 03:32:06,18.69,12.92,79.11,12,55,8.34
290,Srednekolymsk,RU,2020-04-17 03:32:43,67.45,153.68,10.27,93,100,11.41
291,Adrar,MR,2020-04-17 03:32:43,20.5,-10.07,83.05,14,32,7.0
292,Son La,VN,2020-04-17 03:32:44,21.32,103.9,84.2,44,34,2.77
293,Korla,CN,2020-04-17 03:32:44,41.76,86.15,62.44,34,99,8.93
294,Mezhdurechensk,RU,2020-04-17 03:32:44,53.69,88.06,45.0,73,78,4.68
295,Sorland,NO,2020-04-17 03:32:44,67.67,12.69,37.4,69,75,25.28
296,Meulaboh,ID,2020-04-17 03:32:45,4.14,96.13,77.99,88,100,4.88
297,Alamosa,US,2020-04-17 03:30:30,37.47,-105.87,46.4,45,40,14.99
298,Riyadh,SA,2020-04-17 03:30:09,24.69,46.72,66.2,55,0,2.24
299,Kopanskaya,RU,2020-04-17 03:32:45,46.28,38.48,48.06,68,15,23.2
300,Sawakin,SD,2020-04-17 03:32:45,19.11,37.33,72.46,54,0,6.87
301,Sarkand,KZ,2020-04-17 03:32:46,45.41,79.92,52.3,37,11,3.29
302,Zhangjiakou,CN,2020-04-17 03:32:46,40.81,114.88,52.84,32,25,19.19
303,Ambon,ID,2020-04-17 03:32:46,-3.7,128.18,91.4,63,40,5.82
